image_name,image_format,image_resolution,count_tokens,actual_tokens,text_tokens,image_tokens,output_tokens,status
cat_640*440,png,640x440,262,261,3,258,191,success
cat_640*440,jpg,640x440,262,261,3,258,186,success
cat_640*440,webp,640x440,262,261,3,258,196,success
cat_1920*1321,png,1920x1321,262,261,3,258,134,success
cat_1920*1321,jpg,1920x1321,262,261,3,258,157,success
cat_1920*1321,webp,1920x1321,262,261,3,258,154,success
cat_2400*1651,png,2400x1651,262,261,3,258,149,success
cat_2400*1651,jpg,2400x1651,262,261,3,258,128,success
cat_2400*1651,webp,2400x1651,262,261,3,258,223,success
cat_5026*3458,jpg,5026x3458,262,261,3,258,191,success
cat_5026*3458,webp,5026x3458,262,261,3,258,261,success
